,投稿日,この製品のいい点,改善してほしい点,メリット,おすすめポイント
718,2022/09/08,エンドユーザーですが簡単に経費精算できます。前職では経費精算にオラクルを使用していましたが、使いにくくて辟易していました。今はストレスもなく経費精算できています。,困ったことはあまりないのですが、会社名（特に顧客先）半角カタカナで登録しないといけないのがちょっと面倒だなと思います。ただこれは社内の決定かもしれず、楽楽精算の仕様ではないかもしれません。システムの不具合がありましたか？とくにありません。,経費精算が他のシステムと比べると楽にできるので、エンドユーザー視点ではストレスフリーです。面倒だと思い先延ばしにすることがなくなりました。,簡単に経費精算できます。
719,2022/09/08,これまでは経費精算の申請書に大量のレシートを添付し経理担当者に提出するというアナログな精算フローだったが、これを導入することでシステム上で申請が可能になり、金額の誤りなども減って経費精算に費やす労力が大幅に削減された。,勘定科目や税率を自分で選択しなければならない為、経理の知識に乏しいスタッフではミスが目立つ。ある程度カテゴリ分けが出来たり、AIによる自動判別などが実現したら申請者側のストレスも減るのではないだろうか。,webを利用することで場所や時間を気にせず経費精算の申請が可能になる。特に現場で働くスタッフは経費精算のためだけに本社に寄らねばならなかったため、その無駄を削減できたことに関して喜んでいるスタッフが多かった。この口コミを詳しく見る,経費精算の申請書に大量のレシートを添付し経理担当者に提出するというアナログな精算フローだったが、これを導入することでシステム上で申請が可能になり、金額の誤りなども減って経費精算に費やす労力が大幅に削減された。楽楽精算の改善してほしい点勘定科目や税率を自分で選択しなければならない為、経理の知識に乏しいスタッフではミスが目立つ。ある程度カテゴリ分けが出来たり、AIによる自動判別などが実現したら申請者側のストレスも減るのではないだろうか。楽楽精算導入で得られた効果・メリットwebを利用することで場所や時間を気にせず経費精算の申請が可能になる。特に現場で働くスタッフは経費精算のためだけに本社に寄らねばならなかったため、その無駄を削減できたことに関して喜んでいるスタッフが多かった。
720,2022/09/08,精算書の作成、承認がペーパーレスでできるようになりました。勘定科目も自由に設定できて助かります。乗換案内機能など、ありがたい機能も。領収書もスキャナか携帯の写真でupできるので良いです。,管理者によって使い勝手がだいぶ左右される気がします。これは制作会社のせいではないのですが、勘定科目の種類や異動社員の情報など、リストの変更に合わせて自動で修正できるような機能があったらいいと思います。システムの不具合がありましたか？異動後の社員がいつまでも表示されていてちょっと邪魔でした。管理者の怠慢でしょうか。,紙を使わなくて良いので、回覧中に紛失したり、次の部署へ持っていく手間がなくなりました。どこで止まっているかも一目瞭然。大助かりです。承認者や精算者が不在でも代理申請・承認ができるのでとても便利です。,すべてWeb上で完結できるので、テレワークにも最適です。
721,2022/09/08,色々な経費の精算のために使用中です。主に出張や取引先への訪問時の交通費です。交通系ICをカードリーダーにかざすと利用した経路などの情報が自動で表示されるため便利です。,領収書読み込みの機能のさらなる進化を求めています。現状は、たまに自動で作成されるデータが間違っているためです。,入力する箇所が少なく、請求にかかる時間が短く済み業務を圧迫することが少ないです。電子帳簿保存法にも対応しているため「この請求書って捨てていいんだっけ、提出だっけ」と混乱することが減りました。この口コミを詳しく見る,の精算のために使用中です。主に出張や取引先への訪問時の交通費です。交通系ICをカードリーダーにかざすと利用した経路などの情報が自動で表示されるため便利です。楽楽精算の改善してほしい点領収書読み込みの機能のさらなる進化を求めています。現状は、たまに自動で作成されるデータが間違っているためです。楽楽精算導入で得られた効果・メリット入力する箇所が少なく、請求にかかる時間が短く済み業務を圧迫することが少ないです。電子帳簿保存法にも対応しているため「この請求書って捨てていいんだっけ、提出だっけ」と混乱することが減りました。
722,2022/09/08,Web上で経費精算手続きが完了（主に交通費精算で使用）するのに加え、自動的に定期券を保有している区間はチェックしてくれることで、交通費精算でのミスが減りました。,特にありませんが、定期券の使用区間を自分自身で入れる必要があるため、転勤や引越しがあった場合は社内の身上システムと連携があったりすると便利かなと思います。,経費精算においてミスを極小化できることから、バックオフィスと複数回やり取りするといったプロセスがなくなりました。また、従前は紙の申請書を使用していたため、こちらで入力したものを出力、バックオフィスで再入力という無駄なプロセスをなくせたことで業務の効率化につながっていると思います。この口コミを詳しく見る,経費精算手続きが完了（主に交通費精算で使用）するのに加え、自動的に定期券を保有している区間はチェックしてくれることで、交通費精算でのミスが減りました。楽楽精算の改善してほしい点特にありませんが、定期券の使用区間を自分自身で入れる必要があるため、転勤や引越しがあった場合は社内の身上システムと連携があったりすると便利かなと思います。楽楽精算導入で得られた効果・メリット経費精算においてミスを極小化できることから、バックオフィスと複数回やり取りするといったプロセスがなくなりました。また、従前は紙の申請書を使用していたため、こちらで入力したものを出力、バックオフィスで再入力という無駄なプロセスをなくせたことで業務の効率化につながっていると思います。
723,2022/09/07,経費精算などが楽にできること、また、ページなどが比較的分かり易いと感じました。申請した後に他の人から承認してもらうなど、システムが良くできています,もっと、モダン的なデザインが良いと思います。すごく、昔ながらのデザインで、最近の時代には似つかわしいと感じましたシステムの不具合がありましたか？特に不具合が起きたことはありません。,今までは紙でやって送ったり、ハンコをいただいていたものが、ウェブで申請、承認などをできるようになり、申請側と受理側のそれぞれの業務の効率化につがったと思います。この口コミを詳しく見る,どが楽にできること、また、ページなどが比較的分かり易いと感じました。申請した後に他の人から承認してもらうなど、システムが良くできています楽楽精算の改善してほしい点もっと、モダン的なデザインが良いと思います。すごく、昔ながらのデザインで、最近の時代には似つかわしいと感じましたシステムの不具合がありましたか？特に不具合が起きたことはありません。楽楽精算導入で得られた効果・メリット今までは紙でやって送ったり、ハンコをいただいていたものが、ウェブで申請、承認などをできるようになり、申請側と受理側のそれぞれの業務の効率化につがったと思います。
724,2022/09/07,よく使う電車などお気に入り登録ができて、いちいち入力しなくていい点がよかった。また、自動で手当の計算をしてくれる点がよかった。,エビデンスの添付を事前に別画面でしないといけなくて、申請する画面にて、エビデンスの添付ができたらいいなと思ったシステムの不具合がありましたか？特にありません。,携帯からでも申請、承認ができるので、移動中などにも手軽にできるので、帰社した時に、本来の仕事に集中ができている。この口コミを詳しく見る,車などお気に入り登録ができて、いちいち入力しなくていい点がよかった。また、自動で手当の計算をしてくれる点がよかった。楽楽精算の改善してほしい点エビデンスの添付を事前に別画面でしないといけなくて、申請する画面にて、エビデンスの添付ができたらいいなと思ったシステムの不具合がありましたか？特にありません。楽楽精算導入で得られた効果・メリット携帯からでも申請、承認ができるので、移動中などにも手軽にできるので、帰社した時に、本来の仕事に集中ができている。
725,2022/09/06,大量に発生する領収書の管理がしやすくなり、作業の効率が上がった点。職業柄、社員全体の交際費や交通費精算回数が多いため、紙での管理には時間がかかった。電子管理になったことで、経理の人の作業時間短縮に繋がっている。,初期の設定が難しかったと聞く。経理担当者が会社に1人しかいないため、設定も任せてしまったのだが、担当者がITに慣れておらず導入に時間がかかった。,経理担当者の精算管理の業務量が減り、他の業務にかける時間が増えたと聞く。特に、会議費が5000円超えた場合に交際費へと変換してくれる機能が他社との交流機会の多い自社に向いている。この口コミを詳しく見る,する領収書の管理がしやすくなり、作業の効率が上がった点。職業柄、社員全体の交際費や交通費精算回数が多いため、紙での管理には時間がかかった。電子管理になったことで、経理の人の作業時間短縮に繋がっている。楽楽精算の改善してほしい点初期の設定が難しかったと聞く。経理担当者が会社に1人しかいないため、設定も任せてしまったのだが、担当者がITに慣れておらず導入に時間がかかった。楽楽精算導入で得られた効果・メリット経理担当者の精算管理の業務量が減り、他の業務にかける時間が増えたと聞く。特に、会議費が5000円超えた場合に交際費へと変換してくれる機能が他社との交流機会の多い自社に向いている。
726,2022/09/06,従来は表計算ソフトで精算処理を行ってましたが、楽楽精算を導入してからは、費目も選択式で分かり易く、クラウドなのでリモートでも精算できるようになり、とても便利になりました。,特にありませんが、フォントがたまに見づらいと感じることがあります。またＯＣＲ機能で領収書などのデータを取り込めると良いです。,経費精算がペーパレスになったことで、経費精算のためだけに出社する手間がなくなりました。計算ミスなどもなくなりました。この口コミを詳しく見る,算ソフトで精算処理を行ってましたが、楽楽精算を導入してからは、費目も選択式で分かり易く、クラウドなのでリモートでも精算できるようになり、とても便利になりました。楽楽精算の改善してほしい点特にありませんが、フォントがたまに見づらいと感じることがあります。またＯＣＲ機能で領収書などのデータを取り込めると良いです。楽楽精算導入で得られた効果・メリット経費精算がペーパレスになったことで、経費精算のためだけに出社する手間がなくなりました。計算ミスなどもなくなりました。
727,2022/09/06,部門別や項目別に費用計上が出来る点、承認確認及び修正に関しても、タイムリーに出来て非常に良いと思います。,現状として費用項目が分類されている点。例えば出張と経費・接待費と申請が別々になっている点をひとまとめに精算できると非常に助かります。,伝票の記入が無くなった点と、一度本社へ送った後に修正などが発生すると対応等に非常に時間がかかる点や業務に支障がある点ですが、申請がシステムによりタイムリーに確認が行われるため、修正もその場で対応が出来る点。この口コミを詳しく見る,目別に費用計上が出来る点、承認確認及び修正に関しても、タイムリーに出来て非常に良いと思います。楽楽精算の改善してほしい点現状として費用項目が分類されている点。例えば出張と経費・接待費と申請が別々になっている点をひとまとめに精算できると非常に助かります。楽楽精算導入で得られた効果・メリット伝票の記入が無くなった点と、一度本社へ送った後に修正などが発生すると対応等に非常に時間がかかる点や業務に支障がある点ですが、申請がシステムによりタイムリーに確認が行われるため、修正もその場で対応が出来る点。
728,2022/09/06,初心者でも使えると思います。経理の人間は伝票、領収書等を紙で確認していたところからPDFでの確認となり、書類減、紙の節約等になると思います。,写メの読み取り精度が微妙なところと、原価の枠の割り当てが自動ではないので、申請者は手間が増えます。あらかじめの自動振分機能が欲しいです。,経理の方は処理が楽になったようです。又、紙の使用が減る様です。会社規模によりますが、経理の労働時間数削減が可能なのではないでしょうか。この口コミを詳しく見る,使えると思います。経理の人間は伝票、領収書等を紙で確認していたところからPDFでの確認となり、書類減、紙の節約等になると思います。楽楽精算の改善してほしい点写メの読み取り精度が微妙なところと、原価の枠の割り当てが自動ではないので、申請者は手間が増えます。あらかじめの自動振分機能が欲しいです。楽楽精算導入で得られた効果・メリット経理の方は処理が楽になったようです。又、紙の使用が減る様です。会社規模によりますが、経理の労働時間数削減が可能なのではないでしょうか。
729,2022/09/06,操作が直感的にできるので、担当者が交代しても引継ぎに時間がかかりません。画面レイアウトが見やすく、作業を続けていても目への負担が少ないように感じます。,コーポレートカードの紐づけ処理が複雑なこと。なかなか覚えられません。紙の領収書を読み通る機能があれば処理はさらに効率的になると思いますシステムの不具合がありましたか？CSVのインポートができないときがあります,精算業務が簡単かつ効率的にできるようになったので、本来の業務へ集中できるようになった。取引先も楽楽精算を利用しているので、小口現金処理も簡単。,ITセキュリティも心配無用で安心して利用できます。
730,2022/09/05,Web上で経費精算の承認を取ることができるので、承認するために出社するなどの非効率な業務をなくすことができました。,交通費の申請を承認する際、ICカード履歴のPDFと称号をする必要があるが、手間がかかるのでこれを機械化してほしい。システムの不具合がありましたか？ありません。,以前は承認するために出社するなど無駄な出社がありました。導入以降は申請者も承認者も無駄な通勤をなくすことができるので、業務効率化に繋がりました。,ITに疎い当社でもすぐに定着しましたので、定着するかどうか不安な企業には良いかもしれません。
731,2022/09/05,私は営業職ですので、交通費や出張費の申請が頻繁にありますが、楽々精算に変えて以降は劇的に精算業務が楽になりました。これまでは自分で交通機関と金額を計算してシステム入力していましたが、システムで経路検索してくれますし、承認ルートと進捗も見れるので、無駄な問い合わせもしなくなりました。,導入前から改善できていることが多く、正直あまりないのですが、あえて言うなら飛行機のLCC費用や特殊な料金設定も楽々精算上で調べることができれば、良いなぁとは思います。（難しいことはわかっていますが。。）システムの不具合がありましたか？1年以上使っていますが、特に不具合はないです。,交通費精算で計算ミスや経路ミスがなくなりました。これまでは本人が自分で調べて計算していましたが、楽々精算導入後はそのような作業が不要になったので、ミスもなく、非常に楽になりました。,交通費精算業務に手間を感じている会社は絶対導入した方が良いと思います。
732,2022/09/04,領収書をスマホで読み取るだけで、宛名や金額が自動で登録されるのは便利だと思いました。また、申請履歴をコピーして次回の申請時に再利用できるのも便利だと思いました。,改善点としては、申請履歴をコピーした際、いちいち日付を変更しなければならない点。コピーしたのちに、日付変更を1つ1つやるのではなく、複数ルートを選択して日付選択できるような機能があるといい。,以前は、パソコンを開いて領収書を登録するという作業が必要だったため、パソコンを開かない時間が多い場合に、申請し忘れが多かったが、スマホで領収書登録できることで、申請漏れが減った。この口コミを詳しく見る,マホで読み取るだけで、宛名や金額が自動で登録されるのは便利だと思いました。また、申請履歴をコピーして次回の申請時に再利用できるのも便利だと思いました。楽楽精算の改善してほしい点改善点としては、申請履歴をコピーした際、いちいち日付を変更しなければならない点。コピーしたのちに、日付変更を1つ1つやるのではなく、複数ルートを選択して日付選択できるような機能があるといい。楽楽精算導入で得られた効果・メリット以前は、パソコンを開いて領収書を登録するという作業が必要だったため、パソコンを開かない時間が多い場合に、申請し忘れが多かったが、スマホで領収書登録できることで、申請漏れが減った。
733,2022/09/04,今まで経費の精算が、Excelなどの申請ベースだっため、Webでの申請が可能、申請の承認ワークフローが整備される。と、利用者側としてはそれだけでも利便性が上がりました。,自社の制度上によるものかもしれませんが、GUIが直感的に操作できるとは言いがたいところです。便利ではあるものの、いかにもなGUIが気になります。システムの不具合がありましたか？今まで使用した中ではありません。,申請の押印作業などが明確にフロー化され、スムーズに処理されるのがよくわかります。また、わざわざ会社に出社して申請する必要がなくなったこともこのご時世ではありがたい限りです。,未導入の企業は是非。
734,2022/09/04,全てパソコンまたは携帯から申請が行えることです。項目も分かりやすく、どの項目で計上したら良いか悩まず申請することが出来ました。,導入されたばかりなので現状改善してもらいたい点は見つかってません。(前のシステムが悪すぎて良いところしかないため),今までは精算項目が分からず、申請書を出すまでに時間がかかっていました。申請書を出したあとも、プリントアウト→領収書の糊付け、郵送…と手間がとてもかかっていましたが、その手間が全て省かれたので助かりました。この口コミを詳しく見る,ンまたは携帯から申請が行えることです。項目も分かりやすく、どの項目で計上したら良いか悩まず申請することが出来ました。楽楽精算の改善してほしい点導入されたばかりなので現状改善してもらいたい点は見つかってません。(前のシステムが悪すぎて良いところしかないため)楽楽精算導入で得られた効果・メリット今までは精算項目が分からず、申請書を出すまでに時間がかかっていました。申請書を出したあとも、プリントアウト→領収書の糊付け、郵送…と手間がとてもかかっていましたが、その手間が全て省かれたので助かりました。
735,2022/09/04,以前は経理書類は昔ながらのレシートの張り付けでしたが、全てクラウド上での済ませれるのはかなり便利です。,とくに今のままでも十分に満足ですが、あまり操作に慣れてない年齢層への取説とかの充実があればなと思います。,まず月末の精算がかなり楽になりました。リモートワークを導入と同時にこの製品を導入しました。わざわざ会社に行かなくてかなり楽になりました。この口コミを詳しく見る,書類は昔ながらのレシートの張り付けでしたが、全てクラウド上での済ませれるのはかなり便利です。楽楽精算の改善してほしい点とくに今のままでも十分に満足ですが、あまり操作に慣れてない年齢層への取説とかの充実があればなと思います。楽楽精算導入で得られた効果・メリットまず月末の精算がかなり楽になりました。リモートワークを導入と同時にこの製品を導入しました。わざわざ会社に行かなくてかなり楽になりました。
736,2022/09/04,この製品導入までは経費精算は紙処理が主流だったため、処理に要する時間がかかりストレスを感じていました。そこでこの製品導入によって経費精算のデジタル化を導入。会計ソフトと連携することで、経費精算処理に係る時間短縮はもちろんのこと、処理負担の軽減にもつながりました。,改善してほしい点は現時点ではありません。導入してから約10ヶ月ほどですが、今のところ問題なく使っています。システムの不具合がありましたか？ありません。,経費精算のデジタル化により、テレワークでも対応できる点がメリットです。弊社では出張や立替といったケースが多いため、経費精算業務も増えていましたが、それがテレワークでも対応できるというのは非常にありがたいです。この口コミを詳しく見る,入までは経費精算は紙処理が主流だったため、処理に要する時間がかかりストレスを感じていました。そこでこの製品導入によって経費精算のデジタル化を導入。会計ソフトと連携することで、経費精算処理に係る時間短縮はもちろんのこと、処理負担の軽減にもつながりました。楽楽精算の改善してほしい点改善してほしい点は現時点ではありません。導入してから約10ヶ月ほどですが、今のところ問題なく使っています。システムの不具合がありましたか？ありません。楽楽精算導入で得られた効果・メリット経費精算のデジタル化により、テレワークでも対応できる点がメリットです。弊社では出張や立替といったケースが多いため、経費精算業務も増えていましたが、それがテレワークでも対応できるというのは非常にありがたいです。
737,2022/09/04,交通費の経路の確認が非常にシンプルで便利。またこの時代に合った時間と場所を気にせずどこでもデータ入力が可能な点。,もう少し見やすい仕様になれば更に使いやすくなるかなと。それ以外は特に目立った使いづらい点はありません。,一番は経路検索の時間が大幅に短縮できた点が１番大きかった。あとは、紙での証明書などが必要なくなったのもメリットにはなっている。この口コミを詳しく見る,路の確認が非常にシンプルで便利。またこの時代に合った時間と場所を気にせずどこでもデータ入力が可能な点。楽楽精算の改善してほしい点もう少し見やすい仕様になれば更に使いやすくなるかなと。それ以外は特に目立った使いづらい点はありません。楽楽精算導入で得られた効果・メリット一番は経路検索の時間が大幅に短縮できた点が１番大きかった。あとは、紙での証明書などが必要なくなったのもメリットにはなっている。
738,2022/09/03,画面が見やすく、誰でも使いやすい仕様になっていると思います。私はこのサービスを初めて利用しましたが、操作方法を教えてもらわずとも、直感的に利用ができています。,今のところは特に感じていません。動きが遅いということもないですし、便利だと思います。強いて言えば中小企業向けかと感じます。システムの不具合がありましたか？今のところは特にありません。,今まで交通費はエクセルにいちいち手打ちしてまとめており、面倒だったのですが、ICカードに紐付けることにより、自動で精算してくれるようになりました…。事務的負担が軽減され、本当に助かっています！この口コミを詳しく見る,すく、誰でも使いやすい仕様になっていると思います。私はこのサービスを初めて利用しましたが、操作方法を教えてもらわずとも、直感的に利用ができています。楽楽精算の改善してほしい点今のところは特に感じていません。動きが遅いということもないですし、便利だと思います。強いて言えば中小企業向けかと感じます。システムの不具合がありましたか？今のところは特にありません。楽楽精算導入で得られた効果・メリット今まで交通費はエクセルにいちいち手打ちしてまとめており、面倒だったのですが、ICカードに紐付けることにより、自動で精算してくれるようになりました…。事務的負担が軽減され、本当に助かっています！
739,2022/09/03,とにかく楽でスムーズです！領収書も画像添付でき、経理部とのやり取りもスムーズ。上長承認も全てWEB上で完結できるため、作業効率UP、業務短縮ができ、しかもはじめてのユーザーでも使いやすく満足しています。,一覧の履歴を閲覧する項目が少し小さく見づらいと感じることがありましたが、今では慣れて特に気になりません。システムの不具合がありましたか？特にありません。,このシステム導入までは経理部との紙のやり取りだった為、不備がある時の再提出や、出社しないと対応できなかった非効率感などが全て解決できました。在宅ワークが新しい日常となった今、なくてはならないツールだと感じます。この口コミを詳しく見る,でスムーズです！領収書も画像添付でき、経理部とのやり取りもスムーズ。上長承認も全てWEB上で完結できるため、作業効率UP、業務短縮ができ、しかもはじめてのユーザーでも使いやすく満足しています。楽楽精算の改善してほしい点一覧の履歴を閲覧する項目が少し小さく見づらいと感じることがありましたが、今では慣れて特に気になりません。システムの不具合がありましたか？特にありません。楽楽精算導入で得られた効果・メリットこのシステム導入までは経理部との紙のやり取りだった為、不備がある時の再提出や、出社しないと対応できなかった非効率感などが全て解決できました。在宅ワークが新しい日常となった今、なくてはならないツールだと感じます。
740,2022/09/03,クライアント情報と紐づく契約内容の管理、年間の売上予算管理から受注状況、経費までの実績管理が楽々精算上で簡潔できるうえ、カスタマイズ性も高く、自社システムとの連携なども便利に使えている。,カスタマイズ性が高い分しっかり設計して初期から作り込んでいかないと既存のデータを後で形を変えるなど意外と大変な印象がある。もちろん作り込むのに時間もかかるので、開発を容易にするプラグインなどが導入されるといいかも。,承認ルートが部署ごと、金額別などしっかり設定できて、管理側への通知もわかりやすい。ペーパーレス化によって、所在地の離れたグループ会社への資料提出なども紙でのやりとりがなくなったので無駄な移動や作業が無くなった。予算・実績管理もシステム上で確認でき、社内での情報共有も容易になった。この口コミを詳しく見る,ト情報と紐づく契約内容の管理、年間の売上予算管理から受注状況、経費までの実績管理が楽々精算上で簡潔できるうえ、カスタマイズ性も高く、自社システムとの連携なども便利に使えている。楽楽精算の改善してほしい点カスタマイズ性が高い分しっかり設計して初期から作り込んでいかないと既存のデータを後で形を変えるなど意外と大変な印象がある。もちろん作り込むのに時間もかかるので、開発を容易にするプラグインなどが導入されるといいかも。楽楽精算導入で得られた効果・メリット承認ルートが部署ごと、金額別などしっかり設定できて、管理側への通知もわかりやすい。ペーパーレス化によって、所在地の離れたグループ会社への資料提出なども紙でのやりとりがなくなったので無駄な移動や作業が無くなった。予算・実績管理もシステム上で確認でき、社内での情報共有も容易になった。
741,2022/09/03,これまで紙で提出していた大量の領収書を、写真に撮って送るだけにできるようになり、提出者も領収書を無くしたりしなくなったし、経理もデータ上で確認でき、わざわざ集計しなくても良くなった点,費目コードが多すぎてよくわからないのと、入力する項目が多すぎるので、もう少しシンプルな機能にして欲しいのと、マニュアルがあれば嬉しい。システムの不具合がありましたか？特になし,経理の人は月末に領収書整理に追われることなく定時で上がれるようになったこと。また、紙の領収書を保管する必要が無くなったことで、事務所の保管スペースにも空きが出た。,経理が紙の領収書に追われているような会社では費用対効果は圧倒的に楽楽精算がよい
742,2022/09/03,会社の経費精算で導入しています。わざわざ紙で証憑を提出する必要がなくなり、経理の人は大助かり、申請側も写真でアップするだけなので一瞬で完了して効率化が図れています。,弊社だけかもしれませんが、経費の科目と組織・部署が多いため、どの費目で経費を上げればいいのか、部署を探すのに若干苦労します。システムの不具合がありましたか？特になかったと思う。,証憑の電子保存ができるようになり、紙の領収書を保管する必要とその置き場がいらなくなった。経理の人がわざわざ紙を集めて紛失することもなくなった。,領収書のペーパーレス化、経理の効率化
743,2022/09/02,タイトル通りですが、スマートフォンからでもアプリをとって申請承認ができます。交通費精算など残タスクにすると、面倒なことが帰りの電車で完結します。,社内の機密情報などの入った、支払い依頼に関しては外から見れないのがネック。処理が出来ずとも、権限者に閲覧だけはさせてもらえると有り難い。,経費精算など本業として利益を生み出さない間接業務を徹底的に合理化することで、営業などに割く時間を取れるようになると思う。この口コミを詳しく見る,りですが、スマートフォンからでもアプリをとって申請承認ができます。交通費精算など残タスクにすると、面倒なことが帰りの電車で完結します。楽楽精算の改善してほしい点社内の機密情報などの入った、支払い依頼に関しては外から見れないのがネック。処理が出来ずとも、権限者に閲覧だけはさせてもらえると有り難い。楽楽精算導入で得られた効果・メリット経費精算など本業として利益を生み出さない間接業務を徹底的に合理化することで、営業などに割く時間を取れるようになると思う。
744,2022/09/02,ユーザーインターフェイスが直感的に使いやすく、よくある「次に何したらいいんだ？」と画面を探し回るようなことにならずストレスがなかった,楽々という名前の割には、必要な操作回数がまだまだ多く、もっと洗練させれば減らせる手間が多いように感じました。システムの不具合がありましたか？とくになかった,従来であれば請求書を申請書に貼って上司印もらって人事部に社内便送ってと手間でしたが、スキャンして必要事項入力すれば済むようになったのは末端社員も手間が減って助かっています。,末端社員は助かってます
745,2022/09/01,前までは紙媒体でその都度経費管理をし、手作業でパソコンのエクセルに打ち込んでいたものを、このシステム上で行うことで手間と時間の削減につながった。,唯一改善をして欲しいと言えば、初期に設定する所です。マニュアルやユーザー登録に時間がかかった気がします。システムの不具合がありましたか？特にありません。,このシステムにより手作業での業務負担が激減したので、他の業務を充実させることが出来た。経費の計算のミスも無くなり、残業も減りました。,手作業に比べ、ミスが無くなり効率よく仕事が出来ます！
746,2022/09/01,いままでの経費精算は手書きであったため、間違えることや、計算の見直しをしなければいけなかったが、これを導入したことにより、チェックも楽になった。,入力も簡単のため、特にないが、一度に多くの経費精算をすると、印刷をしたときに何枚もなるため、紙の枚数を減らすようになればなお良い。,経費精算をするのがいままでは億劫だったが、導入したことにより、ためることもなく、まめに精算をするようになった。この口コミを詳しく見る,経費精算は手書きであったため、間違えることや、計算の見直しをしなければいけなかったが、これを導入したことにより、チェックも楽になった。楽楽精算の改善してほしい点入力も簡単のため、特にないが、一度に多くの経費精算をすると、印刷をしたときに何枚もなるため、紙の枚数を減らすようになればなお良い。楽楽精算導入で得られた効果・メリット経費精算をするのがいままでは億劫だったが、導入したことにより、ためることもなく、まめに精算をするようになった。
747,2022/09/01,過去データをいつでも見る事もできるし、申請、承認といったプロセスを一元管理できるのは助かっています。,うちの会社だけかもしれませんが、何故か紙で経理部に提出しなければいけないという二重のフローがあり、正直このソフトのせいではありませんが、不便を感じています。,交通費精算でよく使う路線バス、電車を登録することができ、入力の手間が省けています。また交通系ICカードの読み取りも対応しているので、運賃を調べる手間がないのは、楽です。この口コミを詳しく見る,をいつでも見る事もできるし、申請、承認といったプロセスを一元管理できるのは助かっています。楽楽精算の改善してほしい点うちの会社だけかもしれませんが、何故か紙で経理部に提出しなければいけないという二重のフローがあり、正直このソフトのせいではありませんが、不便を感じています。楽楽精算導入で得られた効果・メリット交通費精算でよく使う路線バス、電車を登録することができ、入力の手間が省けています。また交通系ICカードの読み取りも対応しているので、運賃を調べる手間がないのは、楽です。
748,2022/09/01,今までは紙で回って来た書類を使って精算していたので、依頼だけされて紙が回ってこない…なんて事も。楽楽精算を使い始めてからはその様な事はありません。こちらで印刷して、仕訳して終わり。しかも自動で仕訳もほぼしてくれてあるので後はチェックするだけ(間違いもあるのでしっかり確認はしますが),文字が小さくて見づらいです。精算依頼が来たらポップアップが出るとかの機能が有れば良いなと思いました。あったのかもしれないけど、どこで設定すれば良いのか分かりませんでした。システムの不具合がありましたか？特にありませんでした。,仕訳にかかる時間が少なくなりました。また、今までは精算時に手書きで書いてもらっていた部分(どこに出張に行った、経路等)も打ち込む事ができるので、依頼する人も楽になったと思う。確認する作業も、仕訳が自動で入ったり、自動で計算してくれたり、様式の形式が統一されて見やすくなったり良い事づくめです。,複数部署がある様な会社でしたら、確実に楽になると思います。日々の細々した簡単な仕訳から解放されます。
749,2022/09/01,私の会社では昔ながらの方法で紙の書類をパソコンから印刷し、それに記入しレシートを張り提出するという流れでした。私はデジタルは凄く弱いのですがこちらの製品は特に難しい操作もなくレシートを写真で提出できるので、かさばらずにしかも事務所にわざわざ行くことなく完結できるのですごく助かりました！,特に改善してほしい点などはないのですが、文字がやや小さめ？な気がして大きく太くしていただけるとわかりやすく助かります！,やはりメリットはかさばらない、スピーディーで提出の為に時間を削られないのでその分仕事の時間を確保できることでしょうか、さらに単独で外回りをしているので事務所に戻る時間を気にしなくていいのはすごく楽です！デジタルが苦手で毛嫌いしていましたが、一回教えてもらうだけで理解できました。それぐらい簡単な仕組みです。この口コミを詳しく見る,は昔ながらの方法で紙の書類をパソコンから印刷し、それに記入しレシートを張り提出するという流れでした。私はデジタルは凄く弱いのですがこちらの製品は特に難しい操作もなくレシートを写真で提出できるので、かさばらずにしかも事務所にわざわざ行くことなく完結できるのですごく助かりました！楽楽精算の改善してほしい点特に改善してほしい点などはないのですが、文字がやや小さめ？な気がして大きく太くしていただけるとわかりやすく助かります！楽楽精算導入で得られた効果・メリットやはりメリットはかさばらない、スピーディーで提出の為に時間を削られないのでその分仕事の時間を確保できることでしょうか、さらに単独で外回りをしているので事務所に戻る時間を気にしなくていいのはすごく楽です！デジタルが苦手で毛嫌いしていましたが、一回教えてもらうだけで理解できました。それぐらい簡単な仕組みです。
